"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Erik Ezukanma","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Samori Toure","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Christian Watson","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Woods II","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Xavier Weaver","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tay Martin","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Danny Gray","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Virgil","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Johnson","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A.T. Perry","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lance McCutcheon","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kaden Davis","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendric Pryor","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dennis Houston","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Irv Charles","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Maurice Alexander","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Johnny Wilson","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Palmer","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Bobo","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Moreno-Cropper","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tank Dell","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Scott","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colton Dowell","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jared Wayne","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shedrick Jackson","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jason Brownlee","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
